population,size,pop#,corruption#,bucket,count,date-counted
synthetic-scotland,13k,1,1,death_records,7107,2019-08-21T04:39:49.143
synthetic-scotland,13k,1,1,marriage_records,3168,2019-08-21T04:39:50.421
synthetic-scotland,13k,1,1,birth_records,11228,2019-08-21T09:41:14.821
synthetic-scotland,13k,1,0,birth_records,11228,2019-08-21T10:48:04.150
synthetic-scotland,13k,1,0,death_records,7107,2019-08-21T10:48:19.965
synthetic-scotland,13k,1,0,marriage_records,3168,2019-08-21T10:48:30.533
synthetic-scotland,13k,2,0,birth_records,10636,2019-08-21T17:01:05.697
synthetic-scotland,13k,2,0,death_records,6851,2019-08-21T17:01:15.437
synthetic-scotland,13k,2,0,marriage_records,2987,2019-08-21T17:01:21.065
synthetic-scotland,13k,3,0,birth_records,10790,2019-08-21T17:24:28.562
synthetic-scotland,13k,3,0,death_records,6955,2019-08-21T17:24:39.241
synthetic-scotland,13k,3,0,marriage_records,3023,2019-08-21T17:24:44.467
synthetic-scotland,13k,4,0,birth_records,10654,2019-08-21T17:30:53.407
synthetic-scotland,13k,4,0,death_records,6843,2019-08-21T17:31:05.562
synthetic-scotland,13k,4,0,marriage_records,2983,2019-08-21T17:31:13.103
synthetic-scotland,13k,5,0,birth_records,10959,2019-08-21T17:42:06.378
synthetic-scotland,13k,5,0,death_records,7095,2019-08-21T17:42:16.991
synthetic-scotland,13k,5,0,marriage_records,3088,2019-08-21T17:42:22.933
synthetic-scotland,13k,2,1,birth_records,10636,2019-08-21T23:15:25.652
synthetic-scotland,13k,2,1,death_records,6851,2019-08-21T23:15:35.248
synthetic-scotland,13k,2,1,marriage_records,2987,2019-08-21T23:15:42.854
synthetic-scotland,13k,5,2,birth_records,10959,2019-08-21T23:32:42.315
synthetic-scotland,13k,5,2,death_records,7095,2019-08-21T23:39:22.603
synthetic-scotland,13k,5,2,marriage_records,3088,2019-08-21T23:39:28.011
synthetic-scotland,13k,1,2,birth_records,11228,2019-08-22T10:24:30.865
synthetic-scotland,13k,1,2,death_records,7107,2019-08-22T10:24:40.285
synthetic-scotland,13k,1,2,marriage_records,3168,2019-08-22T10:24:46.488
synthetic-scotland,133k,1,2,birth_records,110143,2019-08-22T18:44:08.806
synthetic-scotland,133k,1,1,birth_records,110143,2019-08-22T18:47:37.758
synthetic-scotland,133k,1,1,death_records,68402,2019-08-22T18:49:21.318
synthetic-scotland,133k,1,1,marriage_records,30845,2019-08-22T18:50:46.847
synthetic-scotland,133k,3,2,birth_records,111143,2019-08-23T00:06:33.793
synthetic-scotland,133k,3,2,death_records,68918,2019-08-23T00:08:34.560
synthetic-scotland,133k,3,2,marriage_records,31096,2019-08-23T00:10:13.508
